observation_date,NORPRINTO01IXOBM
1955-01-01,15.81125
1955-02-01,18.55187
1955-03-01,17.70860
1955-04-01,14.75717
1955-05-01,15.60043
1955-06-01,17.07615
1955-07-01,11.38410
1955-08-01,15.60043
1955-09-01,17.28697
1955-10-01,17.28697
1955-11-01,17.70860
1955-12-01,16.23288
1956-01-01,17.70860
1956-02-01,20.23840
1956-03-01,16.65452
1956-04-01,16.86533
1956-05-01,15.81125
1956-06-01,17.91942
1956-07-01,11.17328
1956-08-01,17.28697
1956-09-01,18.55187
1956-10-01,18.76268
1956-11-01,18.97350
1956-12-01,16.86533
1957-01-01,17.49778
1957-02-01,19.81677
1957-03-01,18.55187
1957-04-01,16.44370
1957-05-01,17.91942
1957-06-01,18.55187
1957-07-01,12.22737
1957-08-01,17.28697
1957-09-01,18.97350
1957-10-01,18.76268
1957-11-01,18.76268
1957-12-01,16.65452
1958-01-01,17.28697
1958-02-01,19.39513
1958-03-01,19.18432
1958-04-01,16.44370
1958-05-01,16.65452
1958-06-01,19.18432
1958-07-01,12.01655
1958-08-01,17.28697
1958-09-01,18.76268
1958-10-01,19.39513
1958-11-01,19.60595
1958-12-01,17.28697
1959-01-01,17.49778
1959-02-01,19.60595
1959-03-01,16.86533
1959-04-01,19.39513
1959-05-01,17.49778
1959-06-01,20.02758
1959-07-01,12.64900
1959-08-01,18.13023
1959-09-01,20.23840
1959-10-01,20.44922
1959-11-01,20.44922
1959-12-01,18.55187
1960-01-01,18.91161
1960-02-01,20.63085
1960-03-01,21.20393
1960-04-01,18.33854
1960-05-01,20.05777
1960-06-01,20.63085
1960-07-01,13.75390
1960-08-01,20.05777
1960-09-01,21.77701
1960-10-01,21.77701
1960-11-01,22.35009
1960-12-01,20.63085
1961-01-01,21.20393
1961-02-01,22.35009
1961-03-01,21.77701
1961-04-01,21.20393
1961-05-01,20.05777
1961-06-01,22.35009
1961-07-01,14.32698
1961-08-01,21.77701
1961-09-01,22.92317
1961-10-01,23.49625
1961-11-01,24.06933
1961-12-01,21.20393
1962-01-01,21.77701
1962-02-01,23.49625
1962-03-01,23.49625
1962-04-01,20.63085
1962-05-01,21.20393
1962-06-01,22.92317
1962-07-01,14.32698
1962-08-01,22.35009
1962-09-01,24.06933
1962-10-01,25.21549
1962-11-01,25.78856
1962-12-01,21.77701
1963-01-01,22.35009
1963-02-01,24.06933
1963-03-01,24.06933
1963-04-01,21.20393
1963-05-01,22.35009
1963-06-01,24.06933
1963-07-01,15.47314
1963-08-01,23.49625
1963-09-01,25.78856
1963-10-01,26.36164
1963-11-01,26.93472
1963-12-01,24.06933
1964-01-01,24.06933
1964-02-01,25.78856
1964-03-01,26.36164
1964-04-01,24.06933
1964-05-01,24.06933
1964-06-01,26.93472
1964-07-01,17.19238
1964-08-01,25.21549
1964-09-01,27.50780
1964-10-01,28.08088
1964-11-01,28.65396
1964-12-01,25.78856
1965-01-01,25.78856
1965-02-01,28.65396
1965-03-01,29.22704
1965-04-01,25.78856
1965-05-01,26.93472
1965-06-01,28.08088
1965-07-01,17.76546
1965-08-01,27.50780
1965-09-01,30.37320
1965-10-01,30.37320
1965-11-01,30.94628
1965-12-01,26.93472
1966-01-01,27.50780
1966-02-01,29.80012
1966-03-01,30.94628
1966-04-01,25.78856
1966-05-01,26.93472
1966-06-01,30.94628
1966-07-01,18.33854
1966-08-01,28.08088
1966-09-01,31.51936
1966-10-01,31.51936
1966-11-01,32.09244
1966-12-01,28.65396
1967-01-01,29.22704
1967-02-01,31.51936
1967-03-01,31.51936
1967-04-01,27.50780
1967-05-01,27.50780
1967-06-01,32.09244
1967-07-01,17.19238
1967-08-01,30.37320
1967-09-01,31.51936
1967-10-01,33.23859
1967-11-01,33.81167
1967-12-01,29.22704
1968-01-01,30.37320
1968-02-01,32.66552
1968-03-01,33.23859
1968-04-01,28.08088
1968-05-01,30.37320
1968-06-01,31.51936
1968-07-01,19.48469
1968-08-01,30.94628
1968-09-01,32.66552
1968-10-01,34.95783
1968-11-01,34.38475
1968-12-01,29.80012
1969-01-01,31.51936
1969-02-01,34.38475
1969-03-01,34.95783
1969-04-01,29.80012
1969-05-01,30.37320
1969-06-01,34.95783
1969-07-01,20.63085
1969-08-01,32.66552
1969-09-01,35.53091
1969-10-01,36.67707
1969-11-01,36.67707
1969-12-01,32.09244
1970-01-01,32.66552
1970-02-01,36.10399
1970-03-01,37.25015
1970-04-01,31.51936
1970-05-01,32.09244
1970-06-01,36.10399
1970-07-01,21.77701
1970-08-01,33.81167
1970-09-01,36.67707
1970-10-01,37.82323
1970-11-01,37.82323
1970-12-01,33.23859
1971-01-01,34.95783
1971-02-01,37.82323
1971-03-01,38.39631
1971-04-01,32.66552
1971-05-01,33.81167
1971-06-01,38.39631
1971-07-01,22.35009
1971-08-01,34.95783
1971-09-01,37.82323
1971-10-01,38.96939
1971-11-01,39.54247
1971-12-01,34.95783
1972-01-01,38.39631
1972-02-01,40.68863
1972-03-01,38.96939
1972-04-01,37.25015
1972-05-01,36.10399
1972-06-01,41.26170
1972-07-01,22.92317
1972-08-01,37.25015
1972-09-01,40.68863
1972-10-01,41.26170
1972-11-01,42.40786
1972-12-01,37.25015
1973-01-01,38.96939
1973-02-01,42.40786
1973-03-01,43.55402
1973-04-01,35.53091
1973-05-01,38.39631
1973-06-01,41.83478
1973-07-01,25.21549
1973-08-01,40.68863
1973-09-01,44.70018
1973-10-01,45.27326
1973-11-01,45.27326
1973-12-01,37.82323
1974-01-01,41.26170
1974-02-01,44.70018
1974-03-01,45.84634
1974-04-01,37.82323
1974-05-01,40.68863
1974-06-01,44.12710
1974-07-01,26.36164
1974-08-01,42.98094
1974-09-01,44.70018
1974-10-01,46.99250
1974-11-01,48.13865
1974-12-01,38.96939
1975-01-01,42.40786
1975-02-01,46.41942
1975-03-01,46.99250
1975-04-01,40.68863
1975-05-01,41.83478
1975-06-01,46.99250
1975-07-01,28.65396
1975-08-01,44.12710
1975-09-01,48.71173
1975-10-01,49.28481
1975-11-01,49.85789
1975-12-01,41.83478
1976-01-01,45.84634
1976-02-01,50.43097
1976-03-01,50.43097
1976-04-01,41.26170
1976-05-01,42.98094
1976-06-01,47.56557
1976-07-01,29.80012
1976-08-01,48.13865
1976-09-01,51.57713
1976-10-01,52.15021
1976-11-01,51.00405
1976-12-01,46.99250
1977-01-01,49.85789
1977-02-01,51.57713
1977-03-01,51.00405
1977-04-01,40.68863
1977-05-01,39.54247
1977-06-01,46.99250
1977-07-01,25.78856
1977-08-01,45.27326
1977-09-01,49.28481
1977-10-01,52.15021
1977-11-01,53.86945
1977-12-01,50.43097
1978-01-01,53.29637
1978-02-01,55.01561
1978-03-01,54.44253
1978-04-01,47.56557
1978-05-01,45.27326
1978-06-01,51.00405
1978-07-01,32.66552
1978-08-01,51.57713
1978-09-01,55.58868
1978-10-01,56.16176
1978-11-01,58.45408
1978-12-01,52.15021
1979-01-01,55.01561
1979-02-01,57.30792
1979-03-01,56.73484
1979-04-01,49.85789
1979-05-01,51.57713
1979-06-01,53.86945
1979-07-01,36.67707
1979-08-01,56.16176
1979-09-01,60.74640
1979-10-01,59.02716
1979-11-01,64.18488
1979-12-01,57.30792
1980-01-01,62.46563
1980-02-01,65.90411
1980-03-01,62.46563
1980-04-01,55.58868
1980-05-01,55.58868
